Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,1.36422787411026,0.871116897452198,1.56606751413075,0.117332812339267
raceethAsian,-0.924116516128407,1.07117915416868,-0.862709578068291,0.388297164904149
raceethHispanic/Latino,-0.223008430539382,0.483052608202815,-0.461664892710297,0.644321650883334
raceethMultiple Hisp/Lat,-0.0565806983651423,0.383083604820444,-0.147698042028352,0.882581076924613
raceethMultiple non-Hisp/Lat,0.36556531654363,0.460893327905977,0.793166866191229,0.427680609219769
raceethNative Hawaiian/Pac Isld,1.15917523187237,1.12645173508449,1.02905006558974,0.303456149096437
raceethWhite,0.72514166577397,0.330433266738476,2.19451774009149,0.0281982100249752
SexM,2.26065585808126,0.297242393594042,7.60542879078258,2.83960822481952e-14
Age14 years old,1.13208047665957,0.721026866701056,1.57009472038016,0.116393076687447
Age15 years old,1.00477866118513,0.629966846917346,1.59497069742935,0.110718788600283
Age16 years old,1.00264439736954,0.557856816053295,1.79731495343736,0.0722856336100133
Age17 years old,1.19552910264114,0.431608196692442,2.76994068185656,0.00560665023845736
Grade11th,-0.682374954510065,0.347453580350495,-1.96393127917035,0.0495380618771442
Grade12th,-0.500045365156056,0.494463306846206,-1.01128912546707,0.311878069275102
Grade9th,0.127295247310682,0.350739790219901,0.362933578853066,0.716654502230086
height,-0.678720030218663,1.51983793765808,-0.44657394936759,0.655182708282713
indv_weight,0.0150399662592546,0.00613277910782955,2.45239001679573,0.014191075419617
seatbelt_wearMost of the Time,0.179488341355033,0.230545553077778,0.778537425506009,0.436252252164006
seatbelt_wearNever,0.249854453544596,0.925178613173484,0.270060775278368,0.787113498026928
seatbelt_wearRarely,-0.588032030711123,0.509500039443562,-1.1541353978173,0.248444663002196
seatbelt_wearSometimes,0.127109666766994,0.420419700971021,0.30233993904999,0.762392935083768
pass_drink_drv1 time,0.344592582288077,0.381849247782478,0.902430957476643,0.366827982279455
pass_drink_drv2 or 3 times,-0.0626867266842387,0.446013896904504,-0.140548819485911,0.8882263828816
pass_drink_drv4 or 5 times,0.772549007647007,0.875224757859942,0.882686419355877,0.377405721722975
pass_drink_drv6 or more times,1.02440046014709,0.709698136388669,1.44343123875145,0.148899029461614
drink_drv1 time,0.203749604856467,0.525323775035011,0.387855289517189,0.698123126836406
drink_drv2 or 3 times,-0.189576629049837,1.02023480063507,-0.185816665861457,0.85258853467455
drink_drv4 or 5 times,-17.3225413015326,1.60191545318175,-10.8136426720438,2.9665138594803e-27
drink_drv6 or more times,-0.00181595124745139,2.67979961228846,-0.00067764441756174,0.999459318022894
drink_drvI did not drive in last 30,-0.413441398743604,0.235357008765866,-1.75665641278988,0.0789763911697674
drv_text_email1 or 2 days,0.417437309151093,0.38593673668112,1.08162107795403,0.279420934686759
drv_text_email10 to 19 days,-0.430391205466942,0.570670684822495,-0.754184886158667,0.4507382116413
drv_text_email20 to 29 days,1.29424982355932,0.684387004815478,1.89110812223601,0.0586099125120707
drv_text_email3 to 5 days,0.0863187078636373,0.421281055043331,0.204895774045095,0.837653557000532
drv_text_email6 to 9 days,0.776565397703815,0.4946720819063,1.56985895527233,0.1164479282689
drv_text_emailAll 30 days,1.13519516120062,0.406888922708696,2.78993872244917,0.00527180181623879
unsafe1 day,-0.792688271202811,0.537803128056984,-1.47393763600204,0.140498383202896
unsafe2 or 3 days,0.805769221944697,0.58120400676079,1.38637933078863,0.165631104438364
unsafe4 to 5 days,-13.1276324870092,0.72244092906643,-18.171219208155,8.72381688223988e-74
unsafe6 or more days,1.27150832390623,1.16191931955096,1.09431722367576,0.273815873878947
bullied_schYes,0.815599748698279,0.238458621927044,3.4202988430748,0.000625523781735416
bullied_elecYes,-0.147684630713685,0.280006215788029,-0.527433401069514,0.597892653722811
sadYes,0.346365962723274,0.258898681184393,1.33784367358976,0.180947401702761
suicide_considerYes,0.0322844670833001,0.348583878358004,0.0926160648489405,0.926208580701574
suicide_planYes,0.649757913782576,0.393939311517781,1.64938581853933,0.0990686181732142
suicide_attempt1 time,-0.451482371783877,0.6302050672698,-0.716405492802219,0.473741004261242
suicide_attempt2 or 3 times,0.499450082890925,0.744671991256674,0.670698090911243,0.502412879283049
suicide_attempt4 or 5 times,-0.0864197829053267,0.767757302146863,-0.11256132981565,0.910378344481704
suicide_attempt6 or more times,-1.03537695118049,1.79017614549324,-0.578365963476299,0.563017068329537
suicide_treatNo,0.28307191195027,0.641837373470221,0.441033700514798,0.65918859965986
smoke_days1 to 2 days,-0.831629845902985,0.571708812782543,-1.45463884290219,0.145769271671947
smoke_days10 to 19 days,2.01383330852764,0.681891032637641,2.95330663132184,0.00314389505766957
smoke_days20 to 29 days,1.51738379644044,1.56306695037304,0.970773386308434,0.331661138218634
smoke_days3 to 5 days,0.190112198412483,0.632937743343257,0.300364767960093,0.763898934740552
smoke_days6 to 9 days,0.520149223065248,0.742606922199252,0.700436809186765,0.483654555382303
smoke_daysAll 30 days,1.13260877664853,0.600232860747447,1.8869489671694,0.0591671900011276
vape_days1 to 2 days,0.64219107667089,0.35150826245433,1.82695869561338,0.0677059799518798
vape_days10 to 19 days,-0.343768122982862,0.743574018341536,-0.462318632043654,0.643852840147695
vape_days20 to 29 days,-0.139049025834405,1.52890267593263,-0.0909469438593171,0.92753474891873
vape_days3 to 5 days,-0.0954558959359493,0.915593462441558,-0.104255763995303,0.916966381762395
vape_days6 to 9 days,-0.36629995084099,0.58977935998037,-0.621079637058141,0.534547226512258
vape_daysAll 30 days,-1.49881725035523,0.682206809797902,-2.19701303010921,0.0280195156281347
drink_days1 to 2 days,0.862728373609329,0.262678402980393,3.28435213485642,0.00102217119780933
drink_days10 to 19 days,1.43036469286657,0.567022666704357,2.52258820829884,0.0116494729375692
drink_days20 to 29 days,3.2653257653806,1.2477990046972,2.61686838432202,0.00887405509499521
drink_days3 to 5 days,1.47089451090518,0.412186146486566,3.56852000835773,0.000359003441807449
drink_days6 to 9 days,0.792019638556279,0.478901301756782,1.65382644743472,0.0981627806586485
drink_daysAll 30 days,4.58377748285147,1.16308771453756,3.9410419571614,8.11284326277702e-05
marijuana_use1 to 2 times,-0.348028812357435,0.388474908793991,-0.895884919409287,0.370314229273424
marijuana_use10 to 19 times,-0.0213145067655672,0.544777404839676,-0.0391251666758094,0.968790596221852
marijuana_use20 to 39 times,-0.923657713512908,0.926334260032471,-0.997110603984928,0.31871082647353
marijuana_use3 to 9 times,0.0716101710467955,0.497483937656536,0.143944689720285,0.885544145839915
marijuana_use40 or more times,0.18535363099526,0.584422107349586,0.31715711754276,0.7511243866745
drug_cocaine1 to 2 times,0.409077347441947,0.488864443478815,0.836790960968456,0.402710079116996
drug_cocaine10 to 19 times,-18.083577972939,1.8202556663275,-9.93463627525684,2.94247836651778e-23
drug_cocaine20 to 39 times,0.721865247478934,1.04154137684736,0.693073999291271,0.488263113694835
drug_cocaine3 to 9 times,-1.27067365182234,1.48757581037169,-0.854190853980642,0.392999249963025
drug_cocaine40 or more times,-0.164734391355209,0.757687239976485,-0.21741740214646,0.82788307059336
0 days|1 day,5.26160295041661,2.3555137826123,2.23373897841574,0.0255002527070075
1 day|2 or 3 days,5.62667963862399,2.3525090420175,2.39177811354918,0.0167669754822239
2 or 3 days|4 to 5 days,6.15789610262583,2.35383912170619,2.61610746709072,0.00889385602377333
4 to 5 days|6 or more days,6.38821314129103,2.3532284612663,2.71465913592319,0.00663440170708582
