Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,-0.758091799277116,1.5397951616697,-0.492332888262272,0.622484034051829
raceethAsian,-0.722175088346085,1.10719382680313,-0.652257148534928,0.514235298693445
raceethHispanic/Latino,-0.954970602624783,0.761446644931209,-1.25415301122124,0.20978639527082
raceethMultiple Hisp/Lat,-1.01292268605542,0.579096743617157,-1.749142431243,0.0802664022694151
raceethMultiple non-Hisp/Lat,-0.967588520027905,0.743724484146325,-1.30100398824242,0.193257089587944
raceethNative Hawaiian/Pac Isld,-15.4619733270695,0.643184045211006,-24.0397339489305,1.06895367146759e-127
raceethWhite,-0.439569949539607,0.502708994753498,-0.874402396072402,0.381899152985821
SexM,2.08432838995379,0.471558260832734,4.42008668509598,9.86613166798741e-06
Age14 years old,0.711292782792317,1.0558622448044,0.673660589998732,0.500527122696643
Age15 years old,0.548043351468369,1.01365940693238,0.540658280010346,0.588743139546775
Age16 years old,0.777891947885068,0.788768912817244,0.986210200788305,0.324029974618179
Age17 years old,0.505990121940752,0.573409486579595,0.882423702054526,0.377547722919441
Grade11th,-0.207663028155515,0.607149229457055,-0.342029633046258,0.732328591699666
Grade12th,0.898044490257064,0.827088152586057,1.08579053810546,0.277571673498076
Grade9th,1.0950783290754,0.478904915016281,2.28662996502797,0.0222174306881278
height,-0.828600201069564,2.93526464877285,-0.282291479719206,0.77772001822405
indv_weight,0.0115983730719726,0.0140354802629505,0.826360969106898,0.408599357326061
seatbelt_wearMost of the Time,0.14010245428178,0.429046866324645,0.326543474100961,0.744013202680455
seatbelt_wearNever,2.37303939453491,0.802170016371513,2.95827486206599,0.00309366135326923
seatbelt_wearRarely,1.59468976199624,0.516061589066076,3.09011520288145,0.00200078873732932
seatbelt_wearSometimes,0.585287009159167,0.454268176982344,1.28841736845219,0.197600715962331
pass_drink_drv1 time,0.218905741074143,0.548725178793361,0.398935112756286,0.68994101604919
pass_drink_drv2 or 3 times,1.29702868310173,0.440842236107815,2.94216065718468,0.00325930785894944
pass_drink_drv4 or 5 times,0.286246298762618,1.10693514116939,0.258593559926394,0.79594885271184
pass_drink_drv6 or more times,0.862121790416537,0.876912096167304,0.983133650664177,0.325541664442925
drink_drv1 time,-0.283486577832757,0.615838449539404,-0.460326207375946,0.645282092751172
drink_drv2 or 3 times,0.559425898772634,0.993778984651208,0.56292788176536,0.573483993384884
drink_drv4 or 5 times,-14.6847671684227,2.07738522468674,-7.06887051756958,1.56199807475355e-12
drink_drv6 or more times,1.12657762998749,1.21088732667957,0.930373623677055,0.352177670296204
drink_drvI did not drive in last 30,0.00275508039088431,0.483202177291659,0.00570171352771318,0.995450715455319
drv_text_email1 or 2 days,-0.420443995835959,0.578868583125193,-0.726320287699961,0.467642445047768
drv_text_email10 to 19 days,0.295293197904583,0.827947284684017,0.356657003854153,0.7213485972586
drv_text_email20 to 29 days,1.7659931617492,0.815035015828807,2.166769681611,0.030252420316884
drv_text_email3 to 5 days,0.74256557028971,0.635184430577539,1.16905505636298,0.242381449987399
drv_text_email6 to 9 days,0.478253213059761,0.629210044405478,0.760085153299879,0.447203686579069
drv_text_emailAll 30 days,0.914018844033046,0.617705135489283,1.47970089856717,0.138953085716554
unsafe1 day,0.116758271878375,0.584035382803432,0.199916435401436,0.841545936319341
unsafe2 or 3 days,1.33565490115056,0.720538516077817,1.85368980470478,0.0637835511505763
unsafe4 to 5 days,2.75457396637523,2.0845094041959,1.32144952708323,0.186351521332834
unsafe6 or more days,3.47659028416684,1.07725121728142,3.22727904911582,0.00124973517384337
bullied_schYes,1.13198524834891,0.565371804695929,2.00219614587558,0.0452636400508219
bullied_elecYes,-0.102870413135496,0.544535670218909,-0.188914002812967,0.850160218531759
sadYes,-0.232031427754969,0.399935900646454,-0.580171540939223,0.561798943223739
suicide_considerYes,-0.380313937990332,0.915335883848963,-0.415491127028826,0.677782409295608
suicide_planYes,-1.19539652907967,1.15013025317026,-1.03935752127608,0.298638492152784
suicide_attempt1 time,0.0946432666642278,1.39559484216955,0.0678157182904877,0.945932331181649
suicide_attempt2 or 3 times,2.22470106464215,1.22080663978375,1.82232058062547,0.0684063572175185
suicide_attempt4 or 5 times,-14.0027154407855,1.29069099069623,-10.8490068821447,2.01603893717547e-27
suicide_attempt6 or more times,1.21056475871612,1.39969255337824,0.864879044897645,0.387105180210215
suicide_treatNo,-0.274222588567049,0.999554566728445,-0.274344790864778,0.783819666277293
smoke_days1 to 2 days,0.00605055983621905,0.678877997498894,0.00891258791492782,0.992888877850416
smoke_days10 to 19 days,0.45643329279211,0.90704556486058,0.503208780765349,0.61481749193882
smoke_days20 to 29 days,0.243119488167657,1.27067895527514,0.191330380627115,0.848266760437318
smoke_days3 to 5 days,-0.951149761753438,1.05995090717747,-0.897352655969931,0.369530767130283
smoke_days6 to 9 days,-1.53434785725275,2.29861037132138,-0.667511065118322,0.504445744173092
smoke_daysAll 30 days,0.502240777560209,1.21737568800243,0.412560216628218,0.679928853928068
drink_days1 to 2 days,1.2036725282534,0.467598624613592,2.57415754643863,0.0100484505770154
drink_days10 to 19 days,0.0918708849778824,1.45206792092967,0.0632689997855356,0.949552300876976
drink_days20 to 29 days,2.17229100518117,1.06016135445377,2.04901923283216,0.0404602342934669
drink_days3 to 5 days,1.63454321454325,0.530206858590384,3.08284057073284,0.00205034968122245
drink_days6 to 9 days,0.763381202151659,0.670936359344039,1.13778481598166,0.255210346804898
drink_daysAll 30 days,1.91692396174665,1.67476749384104,1.14459109625434,0.252378582318614
marijuana_use1 to 2 times,0.161634293778496,0.617155043821524,0.261902248708251,0.793396805899393
marijuana_use10 to 19 times,0.0155351814177868,0.727179831065386,0.0213636032713205,0.982955607316763
marijuana_use20 to 39 times,-0.21383465471593,0.854912538600833,-0.250124597617782,0.802490994282648
marijuana_use3 to 9 times,0.143609472093192,0.604379053658335,0.237614906115487,0.812179788193912
marijuana_use40 or more times,0.892042973144043,0.762225602576524,1.1703135792457,0.241874799208653
drug_cocaine1 to 2 times,1.54344182805856,0.625096978336228,2.4691238024644,0.0135444349878354
drug_cocaine10 to 19 times,-18.3135272798625,2.01109283830225,-9.10625652434954,8.52735494515439e-20
drug_cocaine20 to 39 times,-16.6568062837955,1.67841380068428,-9.92413567917791,3.26922766110438e-23
drug_cocaine3 to 9 times,0.0736773781168155,1.11069594582249,0.0663344260811686,0.947111575523317
drug_cocaine40 or more times,-3.59032391459794,2.91770796425407,-1.2305288804035,0.218499118977746
0 days|1 day,6.32797208436185,4.4573515199436,1.41967086420008,0.155703524179615
1 day|2 or 3 days,6.61771379152626,4.44802727590555,1.48778624343732,0.136807274703728
2 or 3 days|4 to 5 days,7.17506897444078,4.4692852930381,1.60541753412286,0.108401948193727
4 to 5 days|6 or more days,7.44719966223736,4.51969636730577,1.64772123103409,0.099409889250916
