Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,0.201631698020018,1.10807347667375,0.181965999786659,0.855609408630963
raceethAsian,0.659396736786665,0.764015366065635,0.863067375440741,0.388100424087347
raceethHispanic/Latino,-0.258772331846106,0.61928017588412,-0.41785986686344,0.676049576856599
raceethMultiple Hisp/Lat,-0.315785755399191,0.534911455502605,-0.590351453779349,0.554955050047614
raceethMultiple non-Hisp/Lat,0.47237963637044,0.708771998848742,0.666476154726381,0.505106800141676
raceethNative Hawaiian/Pac Isld,1.58408598717107,1.46656314153081,1.08013486928193,0.280082126316524
raceethWhite,0.264724261480895,0.484339182362769,0.546567924134243,0.584675610775558
SexM,1.25070574501964,0.457064543900294,2.73638758838505,0.00621178140009162
Age14 years old,-2.39912809452188,1.44021517487784,-1.66581225942531,0.0957508135903283
Age15 years old,-1.94655035844337,1.24966037884968,-1.55766349913021,0.119313037430712
Age16 years old,-1.79664184056462,1.25084664107434,-1.43634062047887,0.150905440736231
Age17 years old,-2.55629411666933,1.24543229714984,-2.05253559147245,0.0401176397846523
Age18 or older,-0.689859098828678,1.33558060207163,-0.516523748367288,0.605488656734919
Grade11th,-0.206221941889064,0.465588482238642,-0.442927498759222,0.657818176500713
Grade12th,-1.66946102838298,0.753244643042569,-2.21635964331529,0.0266668812620971
Grade9th,0.11562147399968,0.371921585495593,0.310875944039689,0.755894932853771
height,-0.562073638165893,2.35980654144787,-0.238186320909607,0.811736586186832
indv_weight,0.00152826363647371,0.00836817715679705,0.18262802135258,0.855089896239984
seatbelt_wearMost of the Time,0.421718957300732,0.285740214622674,1.47588241248303,0.139975461694932
seatbelt_wearNever,-0.166118097732709,0.952070665606213,-0.174480848674123,0.861487580452967
seatbelt_wearRarely,1.10742988921995,0.613855718685027,1.80405566896441,0.0712225803746521
seatbelt_wearSometimes,0.261441186871189,0.400832472428454,0.652245526135247,0.514242795124042
pass_drink_drv1 time,0.354099945071967,0.525869477658103,0.673360900596302,0.500717716960656
pass_drink_drv2 or 3 times,1.88225751599374,0.507903140883223,3.70593793281248,0.000210609875268104
pass_drink_drv4 or 5 times,1.49605736728416,0.989077555241158,1.51257842153681,0.130386778777676
pass_drink_drv6 or more times,0.509498380396083,0.562105861859669,0.906410010937192,0.36471887601127
drink_drv1 time,1.21615915618747,0.91618270522333,1.32741990135146,0.184369820012959
drink_drv2 or 3 times,-0.274912455235277,0.98996690712982,-0.277698631393975,0.781243711281026
drink_drv4 or 5 times,2.69457937945304,1.45305041459262,1.85442938000778,0.0636777547684454
drink_drv6 or more times,-0.0330414151280278,0.961117077687079,-0.0343781375808468,0.972575616848324
drink_drvI did not drive in last 30,-0.0998382443398884,0.332154379187889,-0.300577835475152,0.763736435028197
drv_text_email1 or 2 days,-0.13534655063429,0.439811294922432,-0.3077377779899,0.758281871104066
drv_text_email10 to 19 days,-0.822862753838978,1.11375907629145,-0.738815755898405,0.460018883050829
drv_text_email20 to 29 days,0.326584861592585,0.880113877048696,0.371071142165976,0.710584544256564
drv_text_email3 to 5 days,-0.691795071868159,0.786379319921126,-0.879721852219544,0.379010008419135
drv_text_email6 to 9 days,-0.147699689052985,0.810880455688515,-0.182147304225718,0.855467126213784
drv_text_emailAll 30 days,0.538906526572992,0.647555555828431,0.83221666731522,0.405286657650014
unsafe1 day,0.992461460479759,0.433511832185394,2.28935264690844,0.0220588710947184
unsafe2 or 3 days,0.83036735358679,0.609720778052522,1.36188134548903,0.173235334245709
unsafe4 to 5 days,1.99586473958392,0.716754585730849,2.78458593682914,0.00535961164701303
unsafe6 or more days,3.3356457145289,0.881189696770861,3.78538891994817,0.000153468374385859
bullied_schYes,1.45386590952931,0.298733361233643,4.8667678210611,1.13438163959777e-06
bullied_elecYes,0.917381346852212,0.311092954154394,2.94889786027401,0.00318909355827412
sadYes,0.0778589489219671,0.309136543105635,0.251859415065536,0.801149730586136
suicide_considerYes,0.971363097845062,0.407243344055214,2.3852154050512,0.0170691236090907
suicide_planYes,-0.24735322765113,0.500517376031627,-0.494195085917457,0.621168409913617
suicide_attempt1 time,-0.0829618100593752,0.672834901154136,-0.123301882701192,0.901868050030922
suicide_attempt2 or 3 times,1.02945052958575,0.640583066280234,1.60705236178598,0.108042882220067
suicide_attempt4 or 5 times,0.0482585469403509,0.995447747757068,0.0484792366541454,0.961334311731626
suicide_attempt6 or more times,0.805419628919287,0.795625030558522,1.01231057091541,0.311389582112787
suicide_treatNo,-0.744375368662741,0.562076866163259,-1.32433020014478,0.185393404851304
0 times|1 time,2.36200571938679,3.84141444402308,0.614879168547375,0.538634520937817
1 time|10 or 11 times,3.2532058279048,3.82940456370237,0.849533073298351,0.395584734890197
10 or 11 times|12 or more times,3.25763746661943,3.82933438330307,0.85070592968418,0.394932728439238
12 or more times|2 or 3 times,3.45205847337347,3.81843583924094,0.904050406686862,0.365968673656549
2 or 3 times|4 or 5 times,4.43427729744176,3.90929768293501,1.13429000733262,0.256672919374536
4 or 5 times|6 or 7 times,5.0790310058877,3.97443530032015,1.27792519492733,0.201275803471715
6 or 7 times|8 or 9 times,7.28655225914603,3.84415610309314,1.89548812892458,0.0580277629771291
