Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,3.26743156851375,1.37223031434817,2.38111017833462,0.0172605485421241
raceethAsian,-14.2106684225396,0.682739518206976,-20.8141876126637,3.2195598780966e-96
raceethHispanic/Latino,1.54181551600808,0.732958247016299,2.10355163105737,0.0354175769833229
raceethMultiple Hisp/Lat,1.52768802659356,0.745021949833654,2.05052754074516,0.0403129790845872
raceethMultiple non-Hisp/Lat,1.46502305787653,0.806251439375436,1.81707961850141,0.069204923073091
raceethNative Hawaiian/Pac Isld,2.63527932003043,1.27823589299158,2.06165335716151,0.0392407502150927
raceethWhite,1.36866455369972,0.670516430788934,2.04120956751102,0.0412300011377431
SexM,1.12826683874744,0.454382734935195,2.48307594457425,0.0130253314779933
Age14 years old,12.0112553551508,1.8342266348603,6.54840308545927,5.81555772589708e-11
Age15 years old,12.2808020220495,1.75841499202488,6.9840180376918,2.86855209666003e-12
Age16 years old,12.5668948959272,1.60140226068745,7.84743171933108,4.24643471141293e-15
Age17 years old,13.6698042786449,1.61126159655253,8.48391366609424,2.17743344415262e-17
Age18 or older,12.2774584522127,1.65544015488274,7.41643146446591,1.20318096813593e-13
Grade11th,-0.952874016413512,0.396276027086856,-2.40457143829359,0.0161914412380241
Grade12th,-0.404826320214548,0.533920215619451,-0.758215007358115,0.448322278448577
Grade9th,0.452644094218385,0.675482849025768,0.670104496170734,0.502791178901695
height,2.41176209753337,2.25697917117061,1.06857968754868,0.285259105390957
indv_weight,0.0244650806432763,0.0080492633678655,3.03941858095319,0.00237035263351899
seatbelt_wearMost of the Time,0.558490553612774,0.338160604204338,1.65155416293052,0.0986254707085871
seatbelt_wearNever,1.03301718647569,1.01232338511499,1.02044188810116,0.307518936398855
seatbelt_wearRarely,0.163392972404985,0.593970112419236,0.275086185295563,0.783250024840051
seatbelt_wearSometimes,0.673961927808019,0.412571486551789,1.6335639998801,0.10235043210384
pass_drink_drv1 time,0.403278815012583,0.527201840506047,0.764941971039945,0.444306099910855
pass_drink_drv2 or 3 times,-0.0581145789888524,0.716956473042112,-0.0810573321728541,0.935396357975266
pass_drink_drv4 or 5 times,-0.458312368739403,0.823321280673272,-0.55666284778236,0.577757805140269
pass_drink_drv6 or more times,0.377748764665558,0.663833632046307,0.56904131762822,0.569328100684579
drink_drv1 time,0.471554591481136,0.563723181530388,0.83650026632037,0.402873526987039
drink_drv2 or 3 times,0.561392053989735,0.820256905798773,0.684410030590412,0.493716283847246
drink_drv4 or 5 times,2.18314600429207,1.53520858514997,1.42205171688693,0.155011237976245
drink_drv6 or more times,1.62867045345847,1.16455552944941,1.39853395761084,0.161952782770122
drink_drvI did not drive in last 30,-0.214477827100157,0.400285540538047,-0.535812077578083,0.592088434252361
drv_text_email1 or 2 days,0.173292396876449,0.61615886873729,0.281246291612392,0.778521501341158
drv_text_email10 to 19 days,0.0150700548154038,0.668241047991065,0.0225518244661997,0.982007772548935
drv_text_email20 to 29 days,-15.9287777338945,0.489058836092415,-32.5702687659538,1.08156185010674e-232
drv_text_email3 to 5 days,0.584276303805084,0.570530547012202,1.02409293746823,0.305791379929084
drv_text_email6 to 9 days,0.798828309114531,0.4954423450158,1.61235372218549,0.106884989148853
drv_text_emailAll 30 days,0.7288775021219,0.42708571704645,1.70663047962015,0.0878907562580653
unsafe1 day,-0.440070173005117,0.787726694204049,-0.558658448727299,0.576394842061368
unsafe2 or 3 days,1.53976079311552,0.627372715170818,2.45429990160838,0.0141159201017211
unsafe4 to 5 days,0.572198642349008,0.885636557997427,0.646087423991219,0.518222739381526
unsafe6 or more days,-0.204512240643016,1.233965721028,-0.165735755181789,0.868364906601533
bullied_schYes,0.466222147900341,0.327551249762148,1.42335633962285,0.154632882362417
bullied_elecYes,0.231706650088926,0.420428419069104,0.551120332450318,0.581551188174224
sadYes,-0.402739930478676,0.451909437990134,-0.891196103958042,0.372823974190236
suicide_considerYes,0.835058477516074,0.557351951418498,1.49826061502215,0.13406555251761
suicide_planYes,1.041464724736,0.540258584174177,1.92771527421069,0.0538905511724675
suicide_attempt1 time,-0.303873731738274,0.843478457559654,-0.360262587639095,0.718650774241301
suicide_attempt2 or 3 times,1.19632548543176,0.710737763915453,1.6832164353294,0.0923332003062318
suicide_attempt4 or 5 times,-0.958561719285103,1.00334116099549,-0.955369675389417,0.339390783654752
suicide_attempt6 or more times,-2.04853693112201,1.53159987649183,-1.33751442694957,0.181054776250283
suicide_treatNo,-2.49477723245857,1.06650929091331,-2.33919878027706,0.0193251481903133
0 days|1 day,24.7083799912204,3.81859141323861,6.47054825126336,9.76479644906029e-11
1 day|2 or 3 days,25.022667232154,3.83144178212611,6.5308749695444,6.5386567617962e-11
2 or 3 days|4 to 5 days,25.2706919188679,3.82379241322705,6.6088032999524,3.87439093912047e-11
4 to 5 days|6 or more days,25.3338112689422,3.82087850004673,6.63036295674734,3.34862441874657e-11
