Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-2.09887449228216,2.60998236695556,-0.804171905088545,0.421407491893956
raceethAmerican Indian/Alaskan Native,-15.2464024451758,0.703474785798363,-21.6729906358661,2.06951919706098e-92
raceethAsian,0.245988052251806,0.567750746605105,0.433267686080036,0.664873983443545
raceethHispanic/Latino,-0.130199262459394,0.588133011779857,-0.221377239249629,0.824824674081263
raceethMultiple Hisp/Lat,0.124677919537285,0.455469259802345,0.273735091565542,0.78432067864265
raceethMultiple non-Hisp/Lat,-0.483283854365829,0.586672906431514,-0.823770535621702,0.410182782325523
raceethNative Hawaiian/Pac Isld,1.0002383123434,1.23117918654413,0.81242301955334,0.416660013394713
raceethWhite,0.72216185252442,0.412061049188157,1.75256034014189,0.0798535194211039
SexM,-0.734621916648101,0.349760299136566,-2.1003582123575,0.035840868240335
sex_idGay or Lesbian,0.586574313325988,0.622377951387787,0.942472836671088,0.346081369964699
sex_idHeterosexual,0.637877715592994,0.370210516363947,1.72301349474878,0.0850636517192277
sex_idNot sure,-0.131684279903949,0.583069757666116,-0.225846527233806,0.821347297231203
Age15 years old,0.253019118628257,0.405626883775121,0.623773050428608,0.532858356278977
Age16 years old,-0.0844064680662347,0.532571106953962,-0.158488635534506,0.874090155940905
Age17 years old,-0.329966989416885,0.62175671534968,-0.530701126776427,0.595693591387736
Age18 or older,-0.724030176383216,0.736810855108243,-0.982654057501433,0.325914262467769
Grade11th,0.300831955015845,0.348849597900619,0.862354312076764,0.388611339088793
Grade12th,0.594540047830647,0.491726231329653,1.20908751648856,0.226793395141833
Grade9th,0.387005733383104,0.372063900515593,1.04015931899549,0.298410314091144
height,-0.199993802598416,1.55779856049574,-0.128382325975941,0.897861245000204
indv_weight,-0.0152347769193433,0.00681185167437475,-2.23651037157112,0.025444564284153
seatbelt_wearMost of the Time,-0.0438885207465326,0.234024063110968,-0.187538495670515,0.851260297063943
seatbelt_wearNever,-1.29962925136901,0.94635214498642,-1.37330406894957,0.169834663756679
seatbelt_wearRarely,-0.4440326860702,0.568535452079582,-0.781011429359458,0.434901954854803
seatbelt_wearSometimes,0.211445299418435,0.43489232860222,0.486201492902939,0.626885503449004
pass_drink_drv1 time,0.0472771159040316,0.407736048363788,0.115950296996674,0.907705305429721
pass_drink_drv2 or 3 times,0.0853795073970187,0.372878908548695,0.22897381814737,0.818916158865754
pass_drink_drv4 or 5 times,-1.55458635059404,0.882887685776924,-1.76079741017798,0.0784482406767637
pass_drink_drv6 or more times,0.700080657239302,0.623512975110264,1.12280046315876,0.261677060221757
drink_drv1 time,0.0170114404226266,0.664643699792675,0.0255948268642779,0.979583445502813
drink_drv2 or 3 times,1.24014884269566,0.880570587072383,1.40834688428416,0.159206925125384
drink_drv4 or 5 times,-20.3876047121123,2.09078350396597,-9.75117924617225,6.55360181903201e-22
drink_drv6 or more times,1.39483612506454,1.77887137484691,0.784112974545208,0.433080489119178
drink_drvI did not drive in last 30,0.128068204159882,0.248411730083755,0.515548135012394,0.606235499573947
drv_text_email1 or 2 days,0.572057845432614,0.395585565589324,1.44610394107882,0.14832804217096
drv_text_email10 to 19 days,-0.488846911350708,0.575941870971011,-0.848778211812479,0.396121401984326
drv_text_email20 to 29 days,0.859174260226634,0.741723932877282,1.15834776544656,0.246881014053733
drv_text_email3 to 5 days,0.0238770501584581,0.526860831655584,0.0453194633646003,0.963857871179567
drv_text_email6 to 9 days,-0.803913473649338,0.624428320238981,-1.28743916249933,0.198112378910227
drv_text_emailAll 30 days,0.564080756549871,0.509301813430616,1.1075569371141,0.268206201925642
unsafe1 day,0.149170765644056,0.510134903751015,0.292414348728553,0.770004681403657
unsafe2 or 3 days,-0.0476265085755326,0.637689359630509,-0.0746860643921177,0.94047307584174
unsafe4 to 5 days,-2.58669032632776,1.21124874955521,-2.13555665364165,0.0328547561793675
unsafe6 or more days,-0.962281485201852,1.12337071089732,-0.856601899860112,0.391782820813011
bullied_schYes,2.48076052711936,0.225256102624651,11.0130668968072,2.57461305688047e-27
sadYes,0.221226300054599,0.258929976072723,0.854386592892842,0.393008368118778
suicide_considerYes,-0.0697365496211247,0.336518494224675,-0.20722947124138,0.835854886752964
suicide_planYes,0.467472502703585,0.345938159570549,1.35131811790844,0.176769113711648
suicide_attempt1 time,0.292859012316688,0.66192401033862,0.442436001327208,0.658228689883571
suicide_attempt2 or 3 times,0.773709530637313,0.683750081923108,1.1315677337269,0.257972048599985
suicide_attempt4 or 5 times,-0.896540011519766,1.78636749054938,-0.50187882183416,0.615816224751271
suicide_attempt6 or more times,3.51211862410307,1.77942728618389,1.97373539867148,0.0485697284923199
suicide_treatNo,0.402346269810238,0.641821931221071,0.626881460788931,0.53081913330463
smoke_days1 to 2 days,-0.185165336783039,0.554424081216522,-0.333977803375256,0.738436530815888
smoke_days10 to 19 days,-0.752826665545611,0.669921459054692,-1.12375362121987,0.261272485512532
smoke_days20 to 29 days,0.667797848700693,0.94746014813699,0.704829485455191,0.481010632959028
smoke_days3 to 5 days,0.118435482447281,0.812088726809773,0.145840569555184,0.884064131412116
smoke_days6 to 9 days,1.46047735800788,0.796218875291679,1.83426618399728,0.0667850674662429
smoke_daysAll 30 days,0.732113029468947,0.632224285470535,1.15799574026814,0.247024603764865
vape_days1 to 2 days,0.496247563599024,0.54708862408033,0.907069790444334,0.364495418134943
vape_days10 to 19 days,-0.718958712471912,0.96808521528554,-0.742660564503976,0.457787399879535
vape_days20 to 29 days,-0.968881947571113,1.35377511336718,-0.715688992953384,0.474279380897982
vape_days3 to 5 days,-1.89727498175329,0.634932714040781,-2.98815124783669,0.00284597716549104
vape_days6 to 9 days,0.90469879844714,0.687281368193878,1.31634413548067,0.18823183346216
vape_daysAll 30 days,-0.274984800374133,0.6202587691401,-0.443338835427285,0.657575754348896
drink_days1 to 2 days,-0.159700980810432,0.311271607908337,-0.513059902519155,0.607974511778226
drink_days10 to 19 days,-0.11980314121161,0.639112428754106,-0.187452372730657,0.851327805574527
drink_days20 to 29 days,1.79398434500145,1.03307601954459,1.7365463054619,0.0826441691789484
drink_days3 to 5 days,-0.0446527038063209,0.495992136804382,-0.0900270397309379,0.928276082914657
drink_days6 to 9 days,0.321244476504052,0.525850867553043,0.610904148544829,0.541342783734565
drink_daysAll 30 days,-19.9243400240873,3.92056095773749,-5.08201255862767,4.13600630420547e-07
marijuana_use1 to 2 times,-0.0892876904358905,0.465826213919912,-0.191675967920606,0.848018383352081
marijuana_use10 to 19 times,1.305009993975,0.489396491297794,2.666569984011,0.00773390943708467
marijuana_use20 to 39 times,-2.16974219449579,0.856570951110344,-2.53305600859243,0.0113944402046544
marijuana_use3 to 9 times,0.819527225619989,0.421028539112432,1.94648853815855,0.0517567473533971
marijuana_use40 or more times,0.0336858757091828,0.647826115076488,0.0519983293745507,0.958535989780287
drug_cocaine1 to 2 times,0.445872500126514,0.709081816653818,0.628802614387437,0.529560776055599
drug_cocaine10 to 19 times,20.1320414498748,2.46898311372174,8.15398102076436,6.66268154475614e-16
drug_cocaine20 to 39 times,-76.438715146085,5.4425981581741,-14.0445266993088,1.58802485079658e-42
drug_cocaine3 to 9 times,-2.74406195901553,1.43098025325674,-1.91760994099701,0.0553239457275367
drug_cocaine40 or more times,1.36235040740789,1.69816678056997,0.802247707937515,0.422519175159926
drug_inhalents1 to 2 times,-0.176394588352309,0.564409124912427,-0.312529653697001,0.754675458998038
drug_inhalents10 to 19 times,33.421533979228,2.75908743140962,12.1132565785177,1.74883616068859e-32
drug_inhalents20 to 39 times,-0.127851012956882,1.20975660329179,-0.105683252820439,0.915845842835764
drug_inhalents3 to 9 times,0.827322483530008,0.536913067965489,1.54088721785998,0.123525963028523
drug_inhalents40 or more times,1.25853941363348,1.08669448590981,1.15813545568864,0.246967607379032
drug_heroin1 to 2 times,-19.2962839130357,2.15116677920898,-8.97014778190804,7.46368648805846e-19
drug_heroin3 to 9 times,1.43836077297261,1.67089376701397,0.860833166876359,0.389448467814373
drug_heroin40 or more times,33.6143187859939,3.33110227280912,10.0910497586275,2.61017889161635e-23
drug_meth1 to 2 times,-0.408371927893609,0.879202771330269,-0.464479800576294,0.642362105231596
drug_meth20 to 39 times,-17.3168585375876,1.92418455538504,-8.99958296054524,5.77907519953176e-19
drug_meth3 to 9 times,-33.1351493662215,2.14371623942791,-15.4568728625503,1.32864939539995e-50
drug_meth40 or more times,-16.5310346359529,2.54001618782161,-6.50823987469559,9.91502657194439e-11
drug_X1 to 2 times,1.23683921811925,0.757197976976802,1.6334423172358,0.102556814695702
drug_X10 to 19 times,-14.1228149004975,1.15929106952248,-12.1822855983138,8.03129325265627e-33
drug_X20 to 39 times,18.1148899436945,2.62380293830708,6.90405886784411,7.05637139765945e-12
drug_X3 to 9 times,0.73631375871878,1.35981041806653,0.541482657388167,0.588244230714687
drug_X40 or more times,3.05151701236981,4.61806256853436,0.660778620272846,0.508841718230254
drug_Rx_abuse1 to 2 times,-0.637958765415995,0.355844399499983,-1.79280260223971,0.0731780338888114
drug_Rx_abuse10 to 19 times,1.35184794500898,0.8173895253604,1.65386012796399,0.0983362066614981
drug_Rx_abuse20 to 39 times,2.81926828812883,0.945561168948408,2.98158213419893,0.00290743222486155
drug_Rx_abuse3 to 9 times,0.238513041114375,0.502054253261837,0.475074236628332,0.634793651659484
drug_Rx_abuse40 or more times,-2.65621540824793,1.65190595544514,-1.60797011445615,0.108023040516396
exercise1 day,-0.170321844260718,0.500508061527644,-0.34029790397554,0.733673248707815
exercise2 days,0.453620111477756,0.387748098961953,1.16988352152377,0.242207971451776
exercise3 days,-0.0392357386145543,0.390419117931736,-0.100496458325114,0.919961765474014
exercise4 days,0.627875302497826,0.427814860185442,1.46763322392697,0.14238450241416
exercise5 days,0.240779192793741,0.382300858888019,0.629815987058164,0.528897628152224
exercise6 days,0.0973856498195429,0.461338314426859,0.21109378253252,0.832838796576211
exercise7 days,0.260925920170814,0.364207893794947,0.716420277034736,0.473827964388611
sex_contactFemales,-0.597159883159977,0.501717073491466,-1.19023233354273,0.234117357949443
sex_contactMales,-0.480694298290803,0.428154477263818,-1.12271230085634,0.261714503220479
sex_contactNever had sex,-0.886025398682204,0.428472515912561,-2.06786985343773,0.0387996765431585
