Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),0.756321228985995,2.14711255501893,0.352250387255235,0.7246931254159
raceethAmerican Indian/Alaskan Native,-1.78101038742728,1.50780418228611,-1.18119475217727,0.23768669471824
raceethAsian,-0.84630667246418,0.586188093897783,-1.44374592605041,0.148990371501647
raceethHispanic/Latino,-0.812200270188038,0.428474960836993,-1.89556063813266,0.0581836479370062
raceethMultiple Hisp/Lat,0.225502049379834,0.335369874524112,0.672398049168309,0.50141954963124
raceethMultiple non-Hisp/Lat,0.270185033375305,0.386375797006747,0.699280429748521,0.484470205148087
raceethNative Hawaiian/Pac Isld,-14.582729732892,0.589633896205789,-24.7318375465348,5.56878813344238e-116
raceethWhite,0.378117231228761,0.285920818688843,1.32245435279147,0.186190595368761
SexM,0.573778824173825,0.287007463324844,1.99917736468199,0.0457443553974857
sex_idGay or Lesbian,0.434266578779409,0.627682997048674,0.691856527612351,0.489119686167437
sex_idHeterosexual,-0.6248300707971,0.35271141248968,-1.77150511344847,0.0766516443940772
sex_idNot sure,-1.59121451141498,0.595716362211173,-2.6710941856771,0.00763086523451374
Age15 years old,-0.0897967421214585,0.344352444982139,-0.26076986944616,0.794300821183371
Age16 years old,0.151590111469391,0.454920440070302,0.333223346583339,0.739005819800247
Age17 years old,0.456316039646161,0.531781928351351,0.858088654988423,0.390961624388671
Age18 or older,0.40908928960014,0.631714550451133,0.647585668729639,0.517338350531076
Grade11th,-0.170673740589274,0.309442242855189,-0.551552816494887,0.581325551995437
Grade12th,-1.13192289213053,0.434018646302129,-2.60800521308151,0.00918502947326366
Grade9th,0.108156623046564,0.334181334537073,0.323646511246322,0.746244542582234
height,-2.78603527453533,1.31623589398815,-2.11666866650607,0.0344295091198232
indv_weight,0.0154236745280144,0.00668330285313183,2.3077922498734,0.0211274461397266
seatbelt_wearMost of the Time,0.095877344594091,0.209051782849095,0.458629643275038,0.646557390911338
seatbelt_wearNever,-0.990346645446717,0.90368709227244,-1.09589553056065,0.273276064535481
seatbelt_wearRarely,-0.480362103882773,0.532315758367378,-0.902400682925587,0.366968885765106
seatbelt_wearSometimes,0.932559685444057,0.401661750628847,2.32175377412469,0.020361086512001
pass_drink_drv1 time,0.408793603138281,0.326907154513637,1.25048839553993,0.211289229695344
pass_drink_drv2 or 3 times,-0.103444578770256,0.588027528975378,-0.175917918248667,0.860378886746923
pass_drink_drv4 or 5 times,0.323068461650696,0.756093484161008,0.427286398333648,0.669223576592126
pass_drink_drv6 or more times,-0.300723764354266,0.50718092333958,-0.592931931221156,0.553303716072565
drink_drv1 time,-0.337522005371335,0.589200955742071,-0.572847009296246,0.566822258813824
drink_drv2 or 3 times,0.547817241747615,0.935046492816913,0.585871660881017,0.558037701199745
drink_drv4 or 5 times,-11.5391457893156,2.27957272888506,-5.0619774675754,4.58826338283901e-07
drink_drv6 or more times,0.974702982276023,2.12150784511384,0.459438782901942,0.645976463283699
drink_drvI did not drive in last 30,0.215640870684982,0.226621094075854,0.951548096457443,0.341458294099195
drv_text_email1 or 2 days,0.327035431926353,0.332267678172827,0.984252918384215,0.325127931360557
drv_text_email10 to 19 days,-0.059684541706496,0.616645532188398,-0.0967890604747966,0.922905051781926
drv_text_email20 to 29 days,0.0615720656694578,0.633815860203343,0.0971450377554516,0.922622396529716
drv_text_email3 to 5 days,0.646815129853442,0.496832235096386,1.30187834879104,0.19313019618834
