Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-5.00891678563238,4.0675747656456,-1.23142586780144,0.21832908242163
raceethAmerican Indian/Alaskan Native,0.217798533962021,1.0085995666479,0.215941530379472,0.829058490137166
raceethAsian,-1.08865141942472,0.812560202315242,-1.33977939889599,0.180491020887927
raceethHispanic/Latino,-0.166262381121864,0.642333451903108,-0.258841230562196,0.795788185206484
raceethMultiple Hisp/Lat,-0.92686895117283,0.631470213718041,-1.46779520401367,0.142339560210873
raceethMultiple non-Hisp/Lat,-0.749511410336886,0.892454090876243,-0.839831894995281,0.401117364514731
raceethNative Hawaiian/Pac Isld,2.28543225771324,1.33461752139387,1.71242488658949,0.086995546754575
raceethWhite,-0.589777823332859,0.545781504136383,-1.08061159798021,0.280018817152808
SexM,-1.20730400563804,0.669571164314743,-1.80310035733636,0.0715444087610641
Age15 years old,0.923345054433189,0.655297948823269,1.40904615387742,0.158999179598424
Age16 years old,1.78231022492973,0.94469047226592,1.88666052771201,0.0593714158868463
Age17 years old,1.06566825636654,1.08825192109389,0.979247760293731,0.327592926900726
Age18 or older,0.980775007620868,1.26247778363051,0.7768651617777,0.437343319718274
Grade11th,0.422989817110154,0.542959979345082,0.779044189629526,0.436059015333151
Grade12th,1.2983769720431,0.838450207553023,1.54854392109026,0.121672208281802
Grade9th,1.32245585381518,0.689617351861278,1.91766615246247,0.0553159671955685
height,0.308641523420126,2.38284689751738,0.129526376093106,0.896956040728662
indv_weight,0.011697688376159,0.0102513183291966,1.14109112608893,0.253988128939795
seatbelt_wearMost of the Time,-0.951864961676902,0.356352806168959,-2.67113081530103,0.00762967311765758
seatbelt_wearNever,-0.530464143662533,1.44209005821918,-0.367843978008972,0.713034058751004
seatbelt_wearRarely,0.414590333851749,0.671327475708207,0.617567951340563,0.5369405252899
seatbelt_wearSometimes,-0.426202792623478,0.580846693469601,-0.733761244430297,0.463192553788282
pass_drink_drv1 time,0.511213412099261,0.495364056082721,1.03199536951041,0.302216885095417
pass_drink_drv2 or 3 times,0.681737460651108,0.587338173813635,1.16072390838234,0.245912506799259
pass_drink_drv4 or 5 times,0.608833029103563,1.24000471457979,0.490992511516285,0.623493308146349
pass_drink_drv6 or more times,-1.23359484267383,1.42126574501347,-0.867955093550883,0.385537921386769
drink_drv1 time,-0.924913372808188,1.2682777979973,-0.729267179689409,0.465935834351866
drink_drv2 or 3 times,-0.362380848976064,1.19238331681067,-0.303913048653971,0.761230266387607
drink_drv4 or 5 times,-19.0819772128943,2.89587740664467,-6.58935946981394,5.82761790355214e-11
drink_drv6 or more times,4.99877001648277,5.85386150547914,0.853926935545705,0.393262345632102
drink_drvI did not drive in last 30,0.61296310425842,0.344863752127982,1.77740658586508,0.0756750059142979
