Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,1.82692569525915,0.866517085718251,2.10835507501254,0.0350002873197882
raceethAsian,-0.46389002202872,0.60756766052714,-0.763519937230099,0.445153376779727
raceethHispanic/Latino,0.0898373586438108,0.522205960602519,0.172034341661204,0.863410530724745
raceethMultiple Hisp/Lat,0.184003448406462,0.338389652688892,0.543762041611925,0.586605232723314
raceethMultiple non-Hisp/Lat,0.409993616970787,0.396439964934322,1.0341884099367,0.30104809134996
raceethNative Hawaiian/Pac Isld,2.06074315800011,0.750667258552433,2.74521518625175,0.00604712318807821
raceethWhite,0.435715839494053,0.290685255070205,1.49892652583572,0.133892694063767
SexM,-1.39783764887806,0.268819381572179,-5.19991393739121,1.99380823927297e-07
Age14 years old,10.8831642525157,1.0222418239085,10.6463695751602,1.81298301820636e-26
Age15 years old,11.8134765157898,0.978189104345006,12.0768841763987,1.39922037836472e-33
Age16 years old,12.2657342691136,1.00779636854927,12.1708458691612,4.44452622622207e-34
Age17 years old,12.1020779155702,1.01571146187846,11.9148777677359,9.9011277979192e-33
Age18 or older,12.214628418485,1.09323568403378,11.1729141271861,5.53351156513093e-29
Grade11th,0.129843602613258,0.327022726393511,0.397047642667547,0.691332328219203
Grade12th,0.0153461054137324,0.46947322121952,0.0326879249339692,0.973923453253442
Grade9th,0.858668782841782,0.398362071033407,2.15549834002589,0.031122858384376
height,1.33220318571909,1.60619335853376,0.829416445187654,0.406868799003359
indv_weight,-0.00347513352068311,0.00683152737367927,-0.508690565168811,0.610969136689595
seatbelt_wearMost of the Time,0.287332608220214,0.224018567765447,1.28262853872478,0.199622246826535
seatbelt_wearNever,-0.641975607201025,0.645234031097951,-0.994950012336793,0.319760577012269
seatbelt_wearRarely,0.780640412125737,0.426848067329184,1.82884841674522,0.0674223195262818
seatbelt_wearSometimes,-0.15047395231179,0.381229208779686,-0.394707301661005,0.69305891347349
pass_drink_drv1 time,0.546105961580437,0.299261255437685,1.82484685757843,0.0680241425478405
pass_drink_drv2 or 3 times,0.377253353295907,0.409529980937924,0.921186166717035,0.356953239240058
pass_drink_drv4 or 5 times,1.06771867473362,0.57634560725052,1.85256669141146,0.0639444903189804
pass_drink_drv6 or more times,0.241679692497568,0.638660461242693,0.378416556470887,0.705121170773201
drink_drv1 time,-0.11039047125196,0.486234494204407,-0.227031345097357,0.820399368620153
drink_drv2 or 3 times,-1.04620736443618,1.02116524831705,-1.0245230790613,0.30558827562902
drink_drv4 or 5 times,2.83043791517592,3.06485716160333,0.923513810247271,0.355739506817699
drink_drv6 or more times,2.27832809676407,0.885559595611683,2.57275524770342,0.0100892528714932
drink_drvI did not drive in last 30,-0.134198385976595,0.254742163650311,-0.526800840715208,0.598331899030133
drv_text_email1 or 2 days,0.493373080614258,0.324060786244026,1.52247078806609,0.127891159517854
drv_text_email10 to 19 days,1.08318515151017,0.375187665952764,2.88704893525616,0.0038887374389274
drv_text_email20 to 29 days,-0.0544430220482657,0.700165133482,-0.0777574024252171,0.938021031747682
drv_text_email3 to 5 days,0.732546005621343,0.400056769648993,1.83110513606375,0.0670848520789393
drv_text_email6 to 9 days,0.487434151949344,0.51086842462454,0.954128555327297,0.340018573351022
drv_text_emailAll 30 days,0.551200775001993,0.405907800799354,1.35794575496335,0.174480897329905
unsafe1 day,0.264767755642586,0.441083851112851,0.600266264508616,0.548328797905926
unsafe2 or 3 days,1.06417996367636,0.619539728693612,1.7176944663748,0.0858523592286252
unsafe4 to 5 days,1.33556988024992,0.903054950668733,1.47894641323975,0.139154637284173
unsafe6 or more days,0.979641689913871,0.909423900398982,1.07721128671028,0.281385884068655
bullied_schYes,0.429396276017513,0.248940915796965,1.72489232894012,0.0845468782743817
bullied_elecYes,0.851875796045598,0.256503047585509,3.32111374139371,0.000896589904271111
sadYes,0.924508397144912,0.218121998613239,4.23849223380809,2.25025965701535e-05
suicide_considerYes,0.253038062386317,0.315381521652454,0.802323677875971,0.422365749244343
suicide_planYes,0.306681495995908,0.308319911750729,0.99468598785749,0.319889011511934
suicide_attempt1 time,0.742527433442947,0.511022123724687,1.45302404528181,0.146217077961618
suicide_attempt2 or 3 times,0.942221618756771,0.506293503768424,1.86101858258829,0.0627415525467459
suicide_attempt4 or 5 times,0.743235455743619,0.509642256482561,1.45834739229292,0.144744813367413
suicide_attempt6 or more times,0.684517735289671,1.08553703102921,0.630579810474702,0.528315303275424
suicide_treatNo,-0.541302143618029,0.456880036352472,-1.18477959321564,0.236104603079707
0 times|1 time,17.708459893572,2.71606409357868,6.51989764727512,7.03553834202723e-11
1 time|2 or 3 times,18.5531623259191,2.73728346860779,6.77794701889441,1.2189553044694e-11
2 or 3 times|4 or 5 times,19.804002946584,2.74802192416206,7.20663935482346,5.73496291509137e-13
4 or 5 times|6 or more times,20.3725960234434,2.72957345337129,7.46365553866345,8.41544300990287e-14
